City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Saint-Philippe,RE,76.59,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
3,Rikitea,PF,77.92,clear sky,-23.1203,-134.9692,People ThankYou
6,Butaritari,KI,81.63,light rain,3.0707,172.7902,Isles Sunset Lodge
9,Vila Velha,BR,82.35,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
11,Hermanus,ZA,75.9,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
18,Tiarei,PF,75.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
21,Hilo,US,78.53,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
23,Namatanai,PG,79.66,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
24,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
29,Bambous Virieux,MU,81.21,light rain,-20.3428,57.7575,Casa Tia Villa
30,Mahebourg,MU,81.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
32,Pisco,PE,75.25,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
33,Kruisfontein,ZA,73.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
36,Perdoes,BR,79.61,broken clouds,-21.0908,-45.0914,Talismã Motel
37,Bredasdorp,ZA,73.27,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
42,San Policarpo,PH,76.06,overcast clouds,12.1791,125.5072,Agapita M. Nicart
45,Luanda,AO,76.71,overcast clouds,-8.8368,13.2343,Hotel Fórum
47,Tecoanapa,MX,84.06,clear sky,16.5167,-98.75,Hotel Manglares
48,San Pedro,PH,74.43,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
49,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
53,Sao Joao Da Barra,BR,84.29,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
54,Kulim,MY,78.49,scattered clouds,5.365,100.5618,Hotel Kulim
55,Bria,CF,80.98,few clouds,6.5423,21.9863,WFP Guesthouse
56,Atuona,PF,76.75,light rain,-9.8,-139.0333,Villa Enata
59,Saint-Joseph,RE,75.58,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
61,Bengkulu,ID,74.39,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
67,Akyab,MM,72.52,overcast clouds,20.15,92.9,Hotel Memory
69,Hambantota,LK,76.5,broken clouds,6.1241,81.1185,Bungalow 63
71,Bucerias,MX,78.78,clear sky,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
73,Honiara,SB,76.93,overcast clouds,-9.4333,159.95,Heritage Park Hotel
74,Kapaa,US,76.48,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
76,Quatre Cocos,MU,81.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
80,Praya,CV,72.14,clear sky,14.9215,-23.5087,LT Aparthotel
83,Viedma,AR,86.43,clear sky,-40.8135,-62.9967,Hotel Cristal
84,East London,ZA,74.44,few clouds,-33.0153,27.9116,Tu Casa
85,Cape Town,ZA,76.12,overcast clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
88,Puerto Ayora,EC,85.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
90,Florianopolis,BR,83.25,light rain,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
91,Cayenne,GF,82.44,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
96,Cidreira,BR,80.4,clear sky,-30.1811,-50.2056,Hotel Castelo
99,Laguna,US,70.45,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
100,Snyder,US,77.14,clear sky,32.7179,-100.9176,"Holiday Inn Express & Suites Snyder, an IHG Hotel"
104,Manokwari,ID,78.21,moderate rain,-0.8667,134.0833,Swiss Belhotel Manokwari
105,Buchanan,LR,80.6,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
106,Alice Springs,AU,85.55,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
107,Sassandra,CI,79.57,broken clouds,4.95,-6.0833,la terrasse
109,Flinders,AU,72.37,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
114,Arraial Do Cabo,BR,84.16,few clouds,-22.9661,-42.0278,Pousada Porto Praia
115,Samarai,PG,80.13,overcast clouds,-10.6167,150.6667,Nuli Sapi
116,Richards Bay,ZA,73.11,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
120,El Tigre,VE,91.47,broken clouds,8.8875,-64.2454,Hotel Santa Cruz
124,Cabo San Lucas,MX,94.3,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
125,Mananjary,MG,75.02,overcast clouds,-21.2167,48.3333,Vahiny Lodge
126,Puerto Escondido,MX,85.03,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
127,Coahuayana,MX,87.28,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
129,Carnarvon,AU,73.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
130,Mtwara,TZ,81.73,scattered clouds,-10.2667,40.1833,TIL Hotels Mtwara
131,Port Alfred,ZA,74.3,broken clouds,-33.5906,26.891,The Halyards Hotel
132,Jacareacanga,BR,84.02,heavy intensity rain,-6.2222,-57.7528,Casa do Ian😎
134,Kahului,US,78.06,clear sky,20.8947,-156.47,Maui Seaside Hotel
145,Zorgo,BF,81.79,broken clouds,12.2489,-0.6158,Auberge Peng-Wende De Zorgho
150,Palotina,BR,89.65,broken clouds,-24.2839,-53.84,Hotel Granfino
151,Aloleng,PH,73.11,clear sky,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
155,San Patricio,US,81.01,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
156,Hithadhoo,MV,82.58,overcast clouds,-0.6,73.0833,Scoop Guest House
157,Sinnamary,GF,81.03,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
160,Mbandaka,CD,79.39,overcast clouds,0.0487,18.2603,Guest House Epervier
162,Mazamitla,MX,72.86,clear sky,19.9167,-103.0333,Monteverde Hotel de Cabañas
168,Mubi,NG,76.42,scattered clouds,10.2676,13.2644,Hotel
169,Alta Floresta,BR,75.02,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
170,Sorong,ID,80.33,broken clouds,-0.8833,131.25,Waigo Splash Hotel
173,Chuy,UY,94.06,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
174,Juba,SS,80.1,scattered clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
189,Amuntai,ID,73.67,light rain,-2.4177,115.2494,Hotel Balqis
194,Trinidad,BO,85.98,scattered clouds,-14.8333,-64.9,Hotel Piesta
196,Port Elizabeth,ZA,76.1,broken clouds,-33.918,25.5701,39 On Nile Guest House
199,Padang,ID,77.29,overcast clouds,-0.9492,100.3543,Mercure Padang
204,Areia Branca,BR,82.6,overcast clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
211,Faanui,PF,80.65,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
213,Sao Jose Da Coroa Grande,BR,79.84,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
215,Puerto Madryn,AR,88.09,clear sky,-42.7692,-65.0385,Hotel Tolosa
217,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
218,Ternate,ID,79.66,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
219,Kudahuvadhoo,MV,81.48,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
220,Bandarbeyla,SO,75.29,overcast clouds,9.4942,50.8122,JABIR HOTEL
221,Caravelas,BR,80.38,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
222,Sola,VU,79.3,moderate rain,-13.8833,167.55,Leumerus Bungalows
224,Ulladulla,AU,72.88,overcast clouds,-35.35,150.4667,Sandpiper Motel
225,Mahajanga,MG,82.42,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
226,Tupi Paulista,BR,88.16,broken clouds,-21.3811,-51.5706,Hotel São Bento
227,Karratha,AU,85.93,light rain,-20.7377,116.8463,ibis Styles Karratha
228,Nhulunbuy,AU,79.41,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
231,Tulagi,SB,80.92,moderate rain,-9.0996,160.1476,Raiders Hotel & Dive
232,Pyapon,MM,72.41,clear sky,16.2833,95.6833,Aung Naing Thu Motel
235,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
236,Roebourne,AU,86.13,light rain,-20.7833,117.1333,Latitude20 Roebourne Village
237,Dingle,PH,72.46,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
245,Rantauprapat,ID,72.54,clear sky,2.1,99.8333,Permata Land Hotel & Resort
252,Olinda,BR,78.53,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
254,Las Choapas,MX,75.25,scattered clouds,17.9333,-94.0833,Hotel Jysmak
256,Maceio,BR,83.64,broken clouds,-9.6658,-35.7353,Poutur Pousada
257,Guarenas,VE,87.64,broken clouds,10.4674,-66.6066,Grand Hotel
259,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
261,Alugan,PH,75.58,overcast clouds,12.2188,125.4808,JM Lodge
270,Savannah Bight,HN,82.45,clear sky,16.45,-85.85,Villa on Dunbar Rock
271,Komatipoort,ZA,76.21,scattered clouds,-25.4332,31.9548,Kruger View Backpackers
273,Ciudad Bolivar,VE,94.33,broken clouds,8.1222,-63.5497,Hotel Edi
274,Francistown,BW,70.16,light rain,-21.17,27.5079,Budget House
276,Lorengau,PG,81.72,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
280,Mindelo,CV,71.15,clear sky,16.8901,-24.9804,Hotel Gaudi
283,Itarema,BR,83.19,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
290,Lano,NG,80.64,scattered clouds,10.1725,11.4715,Lano
291,Paratinga,BR,83.12,overcast clouds,-12.6906,-43.1842,Pousada Magalhães 2
293,Dabola,GN,81.68,overcast clouds,10.75,-11.1167,Hotel Tinkisso
297,Bubaque,GW,78.57,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
298,Miri,MY,75.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
300,Visakhapatnam,IN,71.64,clear sky,17.69,83.2093,Best Western Ramachandra Hotel
301,Bambanglipuro,ID,76.71,broken clouds,-7.95,110.2833,Puri Brata
302,Inirida,CO,86.2,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
304,Cabedelo,BR,77.67,broken clouds,-6.9811,-34.8339,Hotel Pigalle
305,Salalah,OM,73.49,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
306,Kiunga,PG,72.3,light rain,-6.1219,141.2906,Airport Lodge Kiunga
307,Vanimo,PG,77.38,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
311,The Valley,AI,85.86,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
314,Vao,NC,75.43,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
316,Pizarro,CO,81.59,scattered clouds,4.9533,-77.366,Hotel Limonar
319,Lompoc,US,76.08,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
320,Kaduqli,SD,86.38,overcast clouds,11.0167,29.7167,فندق الله جابو
323,Savelugu,GH,86.77,overcast clouds,9.6244,-0.8253,Yoo Naa's Palace
324,Ixtapa,MX,78.03,clear sky,20.7,-105.2,Hotel Plaza Providencia
326,Jizan,SA,77.94,clear sky,17.3333,42.6667,شهدان. ابوالحجر
328,Pouebo,NC,78.13,few clouds,-20.4,164.5667,RIVÂT LODGE
329,Bontang,ID,76.89,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
330,San Miguel,SV,94.93,clear sky,13.4833,-88.1833,Hotel Tropico Inn San Miguel
332,Meulaboh,ID,76.62,clear sky,4.1363,96.1285,Kost Pria
333,Castro,BR,75.67,light rain,-24.7911,-50.0119,CHACARA BAILLY
338,Phalaborwa,ZA,76.28,few clouds,-23.943,31.1411,Bothabelo Bed and Breakfast
340,Manadhoo,MV,81.32,overcast clouds,5.7667,73.3833,Bon Abri maldives
341,Majene,ID,77.83,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
345,Labuhan,ID,78.48,overcast clouds,-6.8844,112.2051,DoubleFAG
347,Lima,PE,77.25,scattered clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
350,Ilhabela,BR,80.37,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
351,Celestun,MX,76.46,clear sky,20.8667,-90.4,Posada Lilia
352,Bodden Town,KY,80.98,few clouds,19.2833,-81.25,Will T Place
353,Necochea,AR,78.04,clear sky,-38.5473,-58.7368,dyd -mar Hotel
356,Ewa Beach,US,80.55,clear sky,21.3156,-158.0072,Uncle Junior Robert
359,Kismayo,SO,77.88,overcast clouds,-0.3582,42.5454,Agan-Hotel
360,Puerto Cabezas,NI,82.36,scattered clouds,14.0351,-83.3888,Cabaña Caribe
362,Villanueva,HN,82.04,scattered clouds,15.3167,-88.0,IGLESIA EVANGELICA DEL PRINCIPE DE PAZ
363,La Palma,US,81.66,broken clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
372,Alyangula,AU,80.47,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
377,Kapoeta,SS,86.07,broken clouds,4.7717,33.5903,Eastgate Hotel
380,Pearland,US,77.02,clear sky,29.5636,-95.286,Hampton Inn Houston-Pearland
381,Forbes,AU,75.92,clear sky,-33.3833,148.0167,Lake Forbes Motel
383,Gboko,NG,88.77,overcast clouds,7.3179,8.9951,Mavillah Apartment and Suites
385,Sawakin,SD,74.3,overcast clouds,19.1059,37.3321,فندق الدويم
387,Makakilo City,US,79.12,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
391,Teseney,ER,82.69,clear sky,15.11,36.6575,Sabrin Hotel
392,Graaff-Reinet,ZA,75.92,light rain,-32.2522,24.5308,Rietjiesbos B&B
394,Omboue,GA,78.21,overcast clouds,-1.5746,9.2618,Hotel Olako
399,Beira,MZ,82.49,few clouds,-19.8436,34.8389,Beira Terrace Hotel
401,Trincomalee,LK,80.08,overcast clouds,8.5711,81.2335,Welcombe Hotel
407,Puerto Gaitan,CO,94.98,overcast clouds,4.3133,-72.0816,Brisas del Yucao
410,Semporna,MY,77.2,moderate rain,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
411,Neuquen,AR,91.29,clear sky,-38.9516,-68.0591,Hotel del Comahue
414,Souillac,MU,81.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
416,Key Largo,US,74.01,overcast clouds,25.0865,-80.4473,Bayside Inn Key Largo
419,Takoradi,GH,81.37,scattered clouds,4.8845,-1.7554,Raybow International Hotel
422,Mackay,AU,71.69,clear sky,-21.15,149.2,International Lodge Motel
423,Bluefields,NI,75.27,broken clouds,12.0137,-83.7635,Nicaraguan Typical House Downtown
426,Mogadishu,SO,78.33,overcast clouds,2.0371,45.3438,Hotel Juba
427,Tomatlan,MX,87.04,scattered clouds,19.9333,-105.25,El Salvial
428,Kavieng,PG,82.15,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
429,Sao Filipe,CV,73.31,clear sky,14.8961,-24.4956,Hotel Xaguate
430,Kailua,US,80.58,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
431,Katherine,AU,75.52,overcast clouds,-14.4667,132.2667,Pine Tree Motel
433,Riberalta,BO,84.4,broken clouds,-10.9833,-66.1,Hotel Colonial
434,Calama,CL,72.09,broken clouds,-22.4667,-68.9333,Diego De Almagro Calama
437,Katobu,ID,76.42,overcast clouds,-4.9408,122.5276,La Ode Husein
439,Nelson Bay,AU,73.0,few clouds,-32.7167,152.15,Mantra Nelson Bay
442,Mocuba,MZ,72.03,moderate rain,-16.8392,36.9856,Phama Lodge
444,Contamana,PE,94.89,moderate rain,-7.3333,-75.0167,Shiringal Touristic Park
445,Kieta,PG,78.28,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
447,Mount Isa,AU,82.17,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
450,Bairiki,KI,82.4,light rain,1.3292,172.9752,Tarawa Boutique Hotel
455,Sakaraha,MG,74.01,scattered clouds,-22.9,44.5333,Le Relais
457,Conde,BR,76.46,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
459,Galle,LK,77.27,broken clouds,6.0367,80.217,Amangalla
461,Punta Cardon,VE,82.35,overcast clouds,11.6581,-70.215,Bambuda hotel
462,Ewo,CG,81.09,overcast clouds,-0.8725,14.8206,Residence Elonda Ewo
465,Tautira,PF,75.22,moderate rain,-17.7333,-149.15,Pension Oaoa
466,Mankono,CI,84.9,overcast clouds,8.0586,-6.1897,Hôtel cotonputeur
470,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
471,Isabela,PH,76.08,overcast clouds,6.7085,121.9711,Isawad Resort
478,Kisangani,CD,72.14,overcast clouds,0.5167,25.2,Grand Ramela Hotel
479,Sabanalarga,CO,85.08,broken clouds,10.6296,-74.9206,Hotel Miraflores
480,Ariquemes,BR,76.1,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
481,Otukpo,NG,88.11,broken clouds,7.1913,8.1329,Queen s Hotel
482,Barber,CW,82.38,few clouds,12.2833,-69.0667,Cats & Pets
483,Urucara,BR,81.66,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
494,Lahaina,US,79.84,overcast clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
496,Angoche,MZ,77.77,light rain,-16.2325,39.9086,Guest House HESADA
498,Caldas Novas,BR,80.83,overcast clouds,-17.7417,-48.625,Best Western Suites Le Jardin Caldas Novas
502,Hualmay,PE,74.44,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
505,Buala,SB,78.96,light rain,-8.145,159.5921,Maringe Lagoon Lodge
508,Kavaratti,IN,79.02,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
513,Acari,PE,71.58,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
517,Whithorn,JM,78.06,scattered clouds,18.2604,-78.0378,Sunset Heal
519,Porto Novo,BJ,84.02,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
524,Linda,US,75.49,clear sky,39.1277,-121.5508,Comfort Suites Marysville-Yuba City
525,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
527,Sahuaripa,MX,78.53,overcast clouds,29.05,-109.2333,Estatua de Sahuaripa
530,Gurupa,BR,86.29,broken clouds,-1.405,-51.64,Hotel Vitória
533,Tambura,SS,77.13,overcast clouds,5.6,27.4667,Rikito Lodge
537,Segou,ML,81.75,scattered clouds,13.4317,-6.2157,Comme chez soi
541,Pilar Do Sul,BR,77.14,overcast clouds,-23.8131,-47.7164,HOTEL CENTRAL
546,Cururupu,BR,84.13,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
547,Chicama,PE,70.34,broken clouds,-7.8447,-79.1469,Balihai Bungalows
549,Kalmunai,LK,77.67,broken clouds,7.4167,81.8167,VS Villa
550,Poco Verde,BR,84.34,overcast clouds,-10.7083,-38.1833,Hotel Santa Cruz
551,Biak,ID,75.76,overcast clouds,-0.9131,122.8766,Penginapan Kim
554,Porterville,US,74.82,haze,36.0652,-119.0168,"Holiday Inn Express & Suites Porterville, an IHG Hotel"
557,Ranong,TH,73.92,scattered clouds,9.9658,98.6348,Tinidee Hotel@Ranong
559,Maxixe,MZ,76.06,clear sky,-23.8597,35.3472,Oceano
560,Albert Town,JM,73.9,broken clouds,18.2943,-77.5424,Meridian guest house
567,Am Timan,TD,83.46,clear sky,11.0297,20.2827,Palais du chef Canton Salamt
568,Eyl,SO,74.93,overcast clouds,7.9803,49.8164,Amiin Hotel
569,Guerrero Negro,MX,72.64,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
575,Mayumba,GA,77.94,overcast clouds,-3.432,10.6554,LIKWALE LODGE
577,Bonthe,SL,81.32,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
580,Alcantara,BR,86.2,scattered clouds,-2.4089,-44.4147,Pousada da Josefa
581,Tamandare,BR,79.48,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
582,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Lindsey Hôtel
583,Valparaiso,CL,83.84,clear sky,-33.0393,-71.6273,Hotel Ultramar
584,Port Moresby,PG,74.62,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
587,Voh,NC,76.77,clear sky,-20.9667,164.7,Le gîte du Koniambo
590,Tutoia,BR,87.78,broken clouds,-2.7619,-42.2744,Pousada Guará's
591,Atar,MR,79.61,broken clouds,20.5169,-13.0499,Oumou Elghoura
596,Kununurra,AU,76.98,light rain,-15.7667,128.7333,Hotel Kununurra
601,Imbituba,BR,82.81,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
602,Ghanzi,BW,72.88,light rain,-21.5667,21.7833,Ghanzi Farmhouse
605,Ouesso,CG,84.09,overcast clouds,1.6136,16.0517,ABENIE Hotel
610,Acajutla,SV,89.8,few clouds,13.5928,-89.8275,asi es
612,Touros,BR,85.1,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
613,Saint-Leu,RE,76.06,overcast clouds,-21.15,55.2833,La Caz Oceane
615,Singapore,SG,78.75,broken clouds,1.2897,103.8501,The Fullerton Hotel Singapore
620,Cajati,BR,85.53,overcast clouds,-24.7361,-48.1228,Lanchonete e Hotel Cortesia
623,Wanning,CN,70.21,overcast clouds,18.8003,110.3967,Paradise Hotel
626,Constitucion,CL,70.27,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
635,San Lorenzo,PY,94.59,broken clouds,-25.3333,-57.5333,Hotel del Sur
638,Yulara,AU,85.84,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
641,Kikwit,CD,72.59,light rain,-5.041,18.8162,HOTEL PLACE YALABA
644,Rawson,AR,88.09,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
645,Taveta,KE,81.99,overcast clouds,-3.3963,37.6736,Challa Hotel
658,Huarmey,PE,74.79,broken clouds,-10.0681,-78.1522,Hotel Miramar
659,Jibuti,DJ,74.62,scattered clouds,11.5,42.5,Orchid Main Camp Goubet
665,Nabulao,PH,72.52,overcast clouds,9.6616,122.4577,Melrose Beach Resort
667,Daru,PG,77.9,overcast clouds,-9.0763,143.2092,Daru Lodge
670,Molepolole,BW,75.34,clear sky,-24.4066,25.4951,Butterfly Tree Guesthouse
672,Anito,PH,74.39,overcast clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
675,Sao Geraldo Do Araguaia,BR,82.04,moderate rain,-6.4006,-48.555,Hotel Por do Sol
682,Sulangan,PH,78.49,scattered clouds,11.1373,123.7228,Maia's Beach Resort
687,Cap Malheureux,MU,81.46,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
